Accession,PHE,CNU,BNU,DIA,PAL,DBI,DSW,HIN,TSW,FLO,MAT,FTM,CLE,CWI,CNLA,NLC,Branching_type,Capsule_hairiness,Flower_color,Inflorescence_type,Seed_color,Branching_grouping,Seed_color_grouping,Region,Cluster
C1,130.3636364,103.1818182,0.409090909,14.85909091,97.95454545,308.7,55.04230769,0.174941336,2.594314847,62.25,98.75,36.5,26.815625,8.189,2,6,Monobranching,Medium,White,Indeterminated,White,Mono- or di-branched,White,Eastern Asia,Cluster3
C2,105.6444444,91.46666667,1.155555556,10.45222222,71.35555556,182.9,32.91741935,0.28130831,2.949444658,59.71428571,95.57142857,35.85714286,27.96421569,8.681,2,4,Monobranching,Medium,White,Indeterminated,White,Mono- or di-branched,White,Eastern Asia,Cluster3
C3 ,91.66666667,57,0.666666667,7.866666667,59.66666667,244.65,32.91741935,0.206896447,2.706659506,46.81734427,94.02173913,48.26666667,26.26153846,7.032666667,3,4,Monobranching,Medium,White,Indeterminated,Black,Mono- or di-branched,Black,Eastern Asia,Cluster3
C4,128.3846154,121.974359,0.307692308,11.59230769,94.82051282,243.55,55.04230769,0.148868162,2.921458338,49.57142857,94.07142857,44.5,27.96421569,9.504,2,4,Monobranching,Medium,White,Indeterminated,White,Mono- or di-branched,White,Eastern Asia,Cluster3
C5,133.3684211,135.3157895,2.052631579,13.17894737,94.47368421,339.75,41.41284615,0.200393771,2.968232885,72.57142857,110.8571429,38.28571429,26.815625,7.666666667,2,4,Monobranching,Medium,White,Indeterminated,White,Mono- or di-branched,White,Eastern Asia,Cluster2
T001,169.7777778,147.4444444,11.11111111,22.82222222,45.33333333,578.5,6.6,0.011743772,1.51328955,54.5,103,48.5,21,5.7,1,4,Extremely branched,Sparse,White,Indeterminated,White,Others,White,Western Africa,Cluster1
T002,140.1,7.4,6.5,19.09,71.7,299,50.79333333,0.115860616,2.734609826,61.5,103.5,42,16.66666667,7.6,1,4,Higly branched,Sparse,Purple,Indeterminated,Black,Others,Black,Western Africa,Cluster1
T003,136.7,132.7,4.5,13.18,80.4,215.25,30.98,0.142404092,2.148426347,46,89,44,23.4,7.64,1,4,Higly branched,Sparse,White,Indeterminated,White,Others,White,Northern Africa,Cluster2
T004,119.3,115.2,3,14.74,78.8,342,40.2,0.11754386,2.268875267,54,96,42,21.6,7.36,3,4,Higly branched,Sparse,White,Indeterminated,White,Others,White,Northern Africa,Cluster2
T005,131.5,131.4,6.3,11.02,76.2,244,56.73,0.223434344,2.26774781,43,87,44,27.2,7.16,2,4,Higly branched,Sparse,White,Indeterminated,Gray,Others,Others,Northern Africa,Cluster3
T006,117.1,165.2,4.2,14.05,88.3,328.5,77.25,0.225826447,2.70137011,54,91.5,37.5,27.4,7.68,3,4,Higly branched,Sparse,White,Indeterminated,White,Others,White,Northern Africa,Cluster3
T007,109,127.1,5,12.58,73.6,356.5,40.9,0.114726508,2.54274781,42.5,90,47.5,22.8,8.34,1,4,Higly branched,Sparse,White,Indeterminated,White,Others,White,Northern Africa,Cluster2
T008,195.2,9.5,6,27.18,102.8,520,5.537216981,0.070598287,2.455319517,45,95.5,46,29.43333333,7.742,1,4,Moderately Branched,Sparse,White,Indeterminated,Brown,Others,Others,Eastern Africa,Cluster1
T009,168.8,152.3,6.2,16.46,97.9,384,50.9,0.132552083,3.073604397,43.5,89.5,46,26.2,8.24,1,4,Extremely branched,Sparse,White,Indeterminated,Composite,Others,Others,Eastern Africa,Cluster2
T010,192.8181818,165.1818182,6.181818182,21.10909091,88.81818182,512,40.635,0.079152893,2.84771687,42,89.5,47.5,23.2,7.08,1,4,Higly branched,Sparse,White,Indeterminated,White,Others,White,Eastern Africa,Cluster2
