Accession,Continent,Block,Plant_height,Capsule_Number,Branch_number,Diameter,Productive_axis_length,Site
T001,Africa,Block7,165,21,8,22.2,21,Jeonju
T001,Africa,Block7,171,299,11,25.3,61,Jeonju
T001,Africa,Block7,172,42,5,14.2,36,Jeonju
T001,Africa,Block7,182,195,15,23.7,62,Jeonju
T002,Africa,Block2,143,26,4,19.3,79,Jeonju
T002,Africa,Block2,125,3,2,15.7,11,Jeonju
T002,Africa,Block2,102,8,2,17.8,37,Jeonju
T002,Africa,Block2,117,4,0,12.1,27,Jeonju
T002,Africa,Block2,128,15,7,21,58,Jeonju
T003,Africa,Block1,120,132,3,15,87,Jeonju
T003,Africa,Block1,112,75,3,10.8,70,Jeonju
T003,Africa,Block1,95,63,2,8.8,64,Jeonju
T003,Africa,Block1,117,128,4,12.05,75,Jeonju
T003,Africa,Block1,108,80,3,11.15,68,Jeonju
T004,Africa,Block3,100,155,2,11.3,89,Jeonju
T004,Africa,Block3,110,71,0,7.8,51,Jeonju
T004,Africa,Block3,87,58,0,6.5,72,Jeonju
T004,Africa,Block3,119,60,0,7.2,78,Jeonju
T004,Africa,Block3,100,123,2,9.6,78,Jeonju
T005,Africa,Block2,117,78,2,8.2,86,Jeonju
T005,Africa,Block2,119,99,3,10,91,Jeonju
T005,Africa,Block2,117,242,3,13.2,82,Jeonju
T005,Africa,Block2,119,103,1,11.9,97,Jeonju
T005,Africa,Block2,113,133,3,10.9,95,Jeonju
T006,Africa,Block2,118,245,3,15.6,90,Jeonju
T006,Africa,Block2,106,138,2,11.7,83,Jeonju
T006,Africa,Block2,115,136,2,12.3,88,Jeonju
T006,Africa,Block2,107,157,4,12.6,85,Jeonju
T006,Africa,Block2,127,190,2,12.3,105,Jeonju
T007,Africa,Block8,91,70,3,9.1,65,Jeonju
T007,Africa,Block8,92,44,2,7.6,71,Jeonju
T007,Africa,Block8,102,146,3,14.1,80,Jeonju
T007,Africa,Block8,62,29,0,9.3,45,Jeonju
T007,Africa,Block8,82,20,0,7.7,63,Jeonju
T008,Africa,Block7,223,46,11,37.9,50,Jeonju
T008,Africa,Block7,195,10,8,26.9,8,Jeonju
T008,Africa,Block7,221,23,9,23.9,36,Jeonju
T008,Africa,Block7,195,13,6,19.1,10,Jeonju
T008,Africa,Block7,196,3,8,15,2,Jeonju
T009,Africa,Block2,180,90,2,11.4,126,Jeonju
T009,Africa,Block2,179,162,2,15,115,Jeonju
T009,Africa,Block2,184,74,1,13,112,Jeonju
T009,Africa,Block2,180,117,2,20,103,Jeonju
T009,Africa,Block2,163,136,2,16.2,116,Jeonju
T010,Africa,Block6,185,225,10,39,58,Jeonju
T010,Africa,Block6,174,117,7,18.9,48,Jeonju
T010,Africa,Block6,184,149,2,20.3,112,Jeonju
T010,Africa,Block6,193,176,2,27.5,153,Jeonju
T010,Africa,Block6,195,51,1,12.6,65,Jeonju
T010,Africa,Block6,192,141,6,12.9,75,Jeonju
T011,Africa,Block4,165,267,7,17.6,68,Jeonju
T011,Africa,Block4,181,138,4,14.1,70,Jeonju
T011,Africa,Block4,170,69,4,10.4,75,Jeonju
T011,Africa,Block4,182,107,4,14,72,Jeonju
T011,Africa,Block4,177,94,4,12.9,71,Jeonju
T012,Africa,Block3,130,79,3,11.1,50,Jeonju
T012,Africa,Block3,136,42,2,10.4,41,Jeonju
T012,Africa,Block3,125,47,2,7.4,45,Jeonju
T012,Africa,Block3,147,44,8,11.7,51,Jeonju
T013,Africa,Block6,177,466,4,29.6,105,Jeonju
T013,Africa,Block6,148,146,5,12.7,69,Jeonju
T013,Africa,Block6,143,278,4,20.1,73,Jeonju
T014,Africa,Block3,178,73,3,13.7,57,Jeonju
T014,Africa,Block3,175,72,4,10.1,76,Jeonju
T014,Africa,Block3,174,119,6,14.7,65,Jeonju
T014,Africa,Block3,164,141,5,13.1,70,Jeonju
T015,Africa,Block5,158,79,3,10,84,Jeonju
T015,Africa,Block5,171,83,6,15,63,Jeonju
T015,Africa,Block5,125,47,3,15.1,47,Jeonju
T015,Africa,Block5,154,176,4,19,80,Jeonju
T016,Africa,Block2,160,198,9,19.6,56,Jeonju
T016,Africa,Block2,149,105,4,13.8,50,Jeonju
T016,Africa,Block2,150,77,6,13.6,39,Jeonju
T016,Africa,Block2,172,77,4,15.1,44,Jeonju
T017,Africa,Block8,165,146,5,15.3,89,Jeonju
T017,Africa,Block8,170,188,4,17.9,77,Jeonju
T017,Africa,Block8,115,71,3,8.8,89,Jeonju
T017,Africa,Block8,186,102,3,11.8,90,Jeonju
T017,Africa,Block8,160,198,8,19.6,64,Jeonju
T018,Africa,Block5,170,50,0,13.6,99,Jeonju
T018,Africa,Block5,177,84,4,16.2,78,Jeonju
T019,Africa,Block8,168,93,1,14.4,80,Jeonju
T019,Africa,Block8,200,223,6,25.1,78,Jeonju
T019,Africa,Block8,183,64,2,15.8,58,Jeonju
T019,Africa,Block8,199,102,6,17.6,63,Jeonju
T020,Africa,Block5,127,,4,14.1,39,Jeonju
T020,Africa,Block5,177,,8,22,129,Jeonju
T021,Africa,Block2,172,99,2,20.4,83,Jeonju
T021,Africa,Block2,162,30,0,15.7,55,Jeonju
T021,Africa,Block2,153,56,6,14.7,25,Jeonju
T021,Africa,Block2,171,55,3,16,61,Jeonju
T021,Africa,Block2,156,28,5,15,25,Jeonju
T022,Africa,Block8,182,476,9,18.2,100,Jeonju
T022,Africa,Block8,185,196,6,17.3,93,Jeonju
T022,Africa,Block8,164,199,7,17.8,91,Jeonju
T022,Africa,Block8,171,144,6,16.7,75,Jeonju
T022,Africa,Block8,175,150,7,19,92,Jeonju
T023,Africa,Block1,139,150,2,13,72,Jeonju
T023,Africa,Block1,126,40,2,8.8,43,Jeonju
T023,Africa,Block1,157,100,3,12,54,Jeonju
T023,Africa,Block1,136,105,1,14,91,Jeonju
T024,Africa,Block2,165,186,8,23.2,34,Jeonju
T024,Africa,Block2,170,192,5,20.8,62,Jeonju
T024,Africa,Block2,166,215,3,15.7,118,Jeonju
T024,Africa,Block2,180,100,4,17.4,101,Jeonju
T024,Africa,Block2,170,147,5,19.4,66,Jeonju
T025,Africa,Block2,187,120,5,15.8,65,Jeonju
T025,Africa,Block2,183,120,5,15,72,Jeonju
T025,Africa,Block2,193,126,5,15.2,74,Jeonju
T025,Africa,Block2,177,91,3,12.6,90,Jeonju
T025,Africa,Block2,178,316,9,23.2,67,Jeonju
T026,Africa,Block8,180,168,4,18.3,91,Jeonju
T026,Africa,Block8,183,54,2,11.3,88,Jeonju
T026,Africa,Block8,187,96,3,12.6,91,Jeonju
T026,Africa,Block8,192,70,3,13.3,81,Jeonju
T026,Africa,Block8,177,359,9,25.5,80,Jeonju
T027,Africa,Block6,139,32,7,19.8,74,Jeonju
T027,Africa,Block6,170,166,6,30.7,109,Jeonju
T027,Africa,Block6,175,233,7,24.9,108,Jeonju
T028,Africa,Block3,177,354,8,25.4,122,Jeonju
T028,Africa,Block3,153,153,4,16.5,93,Jeonju
T028,Africa,Block3,177,459,9,28.9,116,Jeonju
T029,Africa,Block5,150,126,0,15,101,Jeonju
T029,Africa,Block5,134,134,0,14.6,89,Jeonju
T029,Africa,Block5,132,130,0,14,89,Jeonju
T029,Africa,Block5,136,140,0,12.2,88,Jeonju
T029,Africa,Block5,132,147,0,13.6,83,Jeonju
T030,Africa,Block5,140,85,5,15.6,54,Jeonju
T030,Africa,Block5,180,292,7,20,126,Jeonju
T030,Africa,Block5,181,171,7,16.3,108,Jeonju
T030,Africa,Block5,149,59,2,9.5,82,Jeonju
T030,Africa,Block5,162,110,4,12.1,85,Jeonju
T031,Africa,Block4,133,,5,16.3,61,Jeonju
T031,Africa,Block4,144,,1,14.1,76,Jeonju
T032,Africa,Block7,185,321,10,26.2,116,Jeonju
T032,Africa,Block7,159,112,9,14.4,33,Jeonju
T032,Africa,Block7,182,120,4,13.3,82,Jeonju
T032,Africa,Block7,185,139,8,14.2,65,Jeonju
T032,Africa,Block7,185,86,4,13.8,72,Jeonju
T033,Africa,Block7,190,76,2,11,81,Jeonju
T033,Africa,Block7,178,133,4,16.1,92,Jeonju
T033,Africa,Block7,164,53,2,12.8,65,Jeonju
T033,Africa,Block7,188,64,2,12.5,110,Jeonju
T033,Africa,Block7,195,249,4,19.4,126,Jeonju
T034,Africa,Block5,149,74,3,11.1,52,Jeonju
T034,Africa,Block5,150,198,8,19.8,48,Jeonju
T034,Africa,Block5,160,247,7,17.5,68,Jeonju
T035,Africa,Block5,160,265,4,18.7,96,Jeonju
T035,Africa,Block5,134,62,3,9.6,57,Jeonju
T035,Africa,Block5,148,166,5,14.5,73,Jeonju
T035,Africa,Block5,146,172,4,12.7,94,Jeonju
T035,Africa,Block5,160,189,4,16.1,91,Jeonju
T036,Africa,Block1,108,14,0,12.5,54,Jeonju
T036,Africa,Block1,146,48,0,12.1,94,Jeonju
T036,Africa,Block1,165,35,0,10.4,73,Jeonju
T036,Africa,Block1,181,55,0,11.9,108,Jeonju
T036,Africa,Block1,184,53,0,11.1,99,Jeonju
T037,Africa,Block6,197,83,3,16,119,Jeonju
T037,Africa,Block6,205,82,4,15.3,104,Jeonju
T037,Africa,Block6,192,86,4,15.6,100,Jeonju
T037,Africa,Block6,220,77,3,14.9,83,Jeonju
T038,Africa,Block1,168,42,0,10.3,82,Jeonju
T038,Africa,Block1,150,56,1,8.6,86,Jeonju
T038,Africa,Block1,164,37,0,10.7,70,Jeonju
T038,Africa,Block1,181,63,1,14.9,96,Jeonju
T038,Africa,Block1,175,56,0,12.9,93,Jeonju
T039,Africa,Block5,207,75,0,19.6,126,Jeonju
T039,Africa,Block5,183,141,4,22.2,96,Jeonju
T039,Africa,Block5,200,145,3,15,127,Jeonju
T039,Africa,Block5,195,87,1,13.5,116,Jeonju
T039,Africa,Block5,194,209,3,23.7,130,Jeonju
T040,Africa,Block3,189,31,2,14,39,Jeonju
T040,Africa,Block3,201,81,8,30,71,Jeonju
T040,Africa,Block3,192,66,4,20.5,63,Jeonju
T040,Africa,Block3,197,112,8,28.6,65,Jeonju
T041,Africa,Block5,189,473,2,36.3,148,Jeonju
T041,Africa,Block5,135,564,8,24.9,70,Jeonju
T042,Africa,Block1,150,29,4,18.4,34,Jeonju
T042,Africa,Block1,156,60,4,10.7,53,Jeonju
T042,Africa,Block1,154,0,0,12.6,,Jeonju
T042,Africa,Block1,185,187,2,26.9,132,Jeonju
T043,Africa,Block4,165,85,8,14.6,63,Jeonju
T043,Africa,Block4,165,52,2,10.3,71,Jeonju
T043,Africa,Block4,162,62,6,11.7,61,Jeonju
T043,Africa,Block4,166,30,4,14.2,54,Jeonju
T043,Africa,Block4,77,112,9,8.4,20,Jeonju
T044,Africa,Block3,200,135,7,17.8,76,Jeonju
T044,Africa,Block3,187,103,4,13.2,60,Jeonju
T044,Africa,Block3,205,124,5,13.2,85,Jeonju
T044,Africa,Block3,190,78,1,13,106,Jeonju
T045,Africa,Block8,195,240,6,25.8,100,Jeonju
