Accession,Palmitic_acid,Stearic_acid,Oleic_acid,Linoleic_acid,Alpha_linoleic_acid,Protein ,Sesamin ,Sesamolin ,Oil,PHE,CNU,BNU,DIA,PAL,DBI,DSW,HIN,TSW,FLO,MAT,FTM,CLE,CWI,CNLA,NLC,Cluster_old,Cluster
C1,8.684088038,5.53893211,43.27415387,41.96090166,0.54192433,28.32719427,2.23110924,0.747211113,51.02083772,130.3636364,103.1818182,0.409090909,14.85909091,97.95454545,308.7,55.04230769,0.174941336,2.594314847,62.25,98.75,36.5,26.815625,8.189,2,6,Cluster 1,Cluster1
C2,7.909857647,5.240509688,50.62562034,35.8875023,0.33651003,29.46428571,3.853383459,2.600250627,51.2270259,105.6444444,91.46666667,1.155555556,10.45222222,71.35555556,182.9,32.91741935,0.28130831,2.949444658,59.71428571,95.57142857,35.85714286,27.96421569,8.681,2,4,Cluster 1,Cluster1
C3 ,10.2041629,5.766708681,43.19289116,40.63005669,0.206180568,26.66807477,0.063364664,0.168972436,44.81993875,91.66666667,57,0.666666667,7.866666667,59.66666667,244.65,32.91741935,0.206896447,2.706659506,46.81734427,94.02173913,48.26666667,26.26153846,7.032666667,3,4,Cluster 1,Cluster1
C4,8.783763251,4.958908459,44.50531056,41.5122203,0.239797432,30.20122485,2.624671916,1.207349081,50.14698163,128.3846154,121.974359,0.307692308,11.59230769,94.82051282,243.55,55.04230769,0.148868162,2.921458338,49.57142857,94.07142857,44.5,27.96421569,9.504,2,4,Cluster 1,Cluster1
T003,8.927841606,5.508378366,48.29935062,36.87843422,0.385995186,31.07255297,5.038592603,2.248162872,50.51469808,136.7,132.7,4.5,13.18,80.4,215.25,30.98,0.142404092,2.148426347,46,89,44,23.4,7.64,1,4,Cluster 2,Cluster2
T007,9.870142003,5.979073244,42.36266816,41.14816891,0.639947683,26.06407685,4.476089789,1.481728879,53.9111158,109,127.1,5,12.58,73.6,356.5,40.9,0.114726508,2.54274781,42.5,90,47.5,22.8,8.34,1,4,Cluster 2,Cluster2
T039,9.304561889,5.35041157,42.9763828,42.02630972,0.342334026,23.43297671,3.513702865,1.025018319,55.46465282,192.2,117.2,3.8,17.2,118,264,23,0.087121212,3.323364467,53,97.5,44.5,27.4,7.8,1,4,Cluster 3,Cluster3
T042,9.067557154,5.45137997,38.550675,46.64782944,0.282558438,22.958521,4.571313178,2.141437767,52.68670787,181.4444444,101.6666667,6.222222222,20.84444444,77.5,371.5,22.8,0.060824743,2.530013037,48.5,94.5,46,23,7.34,1,4,Cluster 3,Cluster3
T058,8.794442568,5.099136475,40.80756428,45.23131844,0.067538231,20.95223163,6.28265271,1.369537358,57.4474757,184,94.125,4.375,18.275,69.7,461,14.9,0.042329545,3.003145164,48,97.5,49.5,30.33333333,7.966666667,1,4,Cluster 3,Cluster3
T063,9.173913043,4.92173913,39.42173913,46.23478261,0.247826087,18.84303955,5.743669176,1.418000359,59.47264611,194.4285714,81.35714286,5.5,15.9,92.64285714,345,28.1,0.100357143,2.477017707,44.75,98.25,53.5,28.4,7.68,1,4,Cluster 3,Cluster3
