Accession,Continent,Block,Capsule_Hairiness
T001,Africa,Block1,Sparse
T002,Africa,Block1,Sparse
T003,Africa,Block1,Sparse
T004,Africa,Block1,Sparse
T005,Africa,Block1,Sparse
T006,Africa,Block1,Sparse
T007,Africa,Block1,Sparse
T008,Africa,Block1,Sparse
T009,Africa,Block1,Sparse
T010,Africa,Block1,Sparse
T011,Africa,Block1,Sparse
T012,Africa,Block1,Sparse
T013,Africa,Block1,Sparse
T014,Africa,Block1,Sparse
T015,Africa,Block1,Sparse
T016,Africa,Block1,Sparse
T017,Africa,Block1,Sparse
T018,Africa,Block1,Sparse
T019,Africa,Block1,Sparse
T020,Africa,Block1,Sparse
T021,Africa,Block1,Sparse
T022,Africa,Block1,Sparse
T023,Africa,Block1,Sparse
T024,Africa,Block1,Sparse
T025,Africa,Block1,Sparse
T026,Africa,Block1,Sparse
T027,Africa,Block1,Sparse
T028,Africa,Block1,Sparse
T029,Africa,Block1,Sparse
T030,Africa,Block1,Sparse
T031,Africa,Block1,Sparse
T032,Africa,Block1,Sparse
T033,Africa,Block1,Sparse
T034,Africa,Block1,Sparse
T035,Africa,Block1,Sparse
T036,Africa,Block1,Sparse
T037,Africa,Block1,Sparse
T038,Africa,Block1,Sparse
T039,Africa,Block1,Sparse
T040,Africa,Block1,Sparse
T041,Africa,Block1,Profuse
T042,Africa,Block1,Sparse
T043,Africa,Block1,Sparse
T044,Africa,Block1,Sparse
T045,Africa,Block1,Sparse
T046,Africa,Block1,Sparse
T047,Africa,Block1,Sparse
T048,Africa,Block1,Sparse
T049,Africa,Block1,Sparse
T050,Africa,Block1,Sparse
T051,Africa,Block1,Sparse
T052,Africa,Block1,Sparse
T053,Africa,Block1,Sparse
T054,Africa,Block1,Sparse
T055,Africa,Block1,Sparse
T056,Africa,Block1,Sparse
T057,Africa,Block1,Sparse
T058,Africa,Block1,Sparse
T059,Africa,Block1,Sparse
T060,Africa,Block1,Sparse
T061,Africa,Block2,Sparse
T062,Africa,Block2,Sparse
T063,Africa,Block2,Sparse
T064,Africa,Block2,Sparse
T065,Africa,Block2,Sparse
T066,Africa,Block2,Sparse
T067,Africa,Block2,Sparse
T068,Africa,Block2,Sparse
T069,Africa,Block2,Sparse
T070,Africa,Block2,Sparse
T071,Africa,Block2,Sparse
T072,Africa,Block2,Sparse
T073,Africa,Block2,Sparse
T074,Africa,Block2,Sparse
T075,Africa,Block2,Glabrous
T076,Africa,Block2,Sparse
T077,Africa,Block2,Sparse
T078,Africa,Block2,Sparse
T079,Africa,Block2,Sparse
T080,Africa,Block2,Sparse
T081,Africa,Block2,Sparse
T082,Africa,Block2,Sparse
T083,Africa,Block2,Sparse
T084,Africa,Block2,Sparse
T085,Africa,Block2,Sparse
T086,Africa,Block2,Sparse
T087,Africa,Block2,Sparse
T088,Africa,Block2,Sparse
T089,Africa,Block2,Sparse
T090,Africa,Block2,Sparse
T091,Africa,Block2,Sparse
T092,Africa,Block2,Sparse
T093,Africa,Block2,Sparse
T094,Africa,Block2,Sparse
T095,Africa,Block2,Sparse
T096,Africa,Block2,Sparse
T097,Africa,Block2,Sparse
T098,Africa,Block2,Sparse
T099,Africa,Block2,Sparse
T100,Africa,Block2,Sparse
T101,Africa,Block2,Sparse
T102,Africa,Block2,Sparse
T103,Africa,Block2,Profuse
T104,Africa,Block2,Sparse
T105,Africa,Block2,Sparse
T106,Africa,Block2,Sparse
T108,Africa,Block2,Sparse
T109,Africa,Block2,Sparse
T110,Africa,Block2,Sparse
T111,Africa,Block2,Sparse
T112,Africa,Block2,Sparse
T113,Africa,Block2,Sparse
T114,Africa,Block2,Sparse
T115,Africa,Block2,Sparse
T116,Africa,Block2,Sparse
T118,Africa,Block2,Sparse
T119,Africa,Block2,Sparse
T120,Africa,Block2,Sparse
T121,Africa,Block2,Sparse
T122,Africa,Block2,Sparse
T123,Africa,Block3,Sparse
T124,Africa,Block3,Sparse
T125,Africa,Block3,Sparse
T126,Africa,Block3,Sparse
T127,Africa,Block3,Sparse
T128,#N/A,#N/A,Sparse
T129,Africa,Block3,Sparse
T130,Africa,Block3,Sparse
T131,Africa,Block3,Sparse
T132,Africa,Block3,Sparse
T133,Africa,Block3,Sparse
T134,Africa,Block3,Sparse
T135,Africa,Block3,Sparse
T136,Africa,Block3,Sparse
T137,Africa,Block3,Sparse
T138,Africa,Block3,Sparse
T139,Africa,Block3,Sparse
T140,Africa,Block3,Sparse
T141,Africa,Block3,Sparse
T142,Africa,Block3,Sparse
T143,Africa,Block3,Sparse
T144,Africa,Block3,Sparse
T145,Africa,Block3,Sparse
T146,Africa,Block3,Sparse
T147,Africa,Block3,Sparse
T148,Africa,Block3,Sparse
T149,Africa,Block3,Sparse
T150,Africa,Block3,Sparse
T151,Africa,Block3,Sparse
T152,Africa,Block3,Sparse
T153,Africa,Block3,Sparse
T154,Africa,Block3,Sparse
T155,Africa,Block3,Sparse
T156,Africa,Block3,Sparse
T157,Africa,Block3,Sparse
T158,Africa,Block3,Sparse
T159,Africa,Block3,Sparse
T160,Africa,Block3,Sparse
T161,Africa,Block3,Sparse
T162,Africa,Block3,Sparse
T163,Africa,Block3,Sparse
T164,Africa,Block3,Sparse
T165,Africa,Block3,Sparse
T166,Africa,Block3,Sparse
T167,Africa,Block3,Sparse
T168,Africa,Block3,Sparse
T169,Africa,Block3,Sparse
T170,Africa,Block3,Sparse
T171,Africa,Block3,Sparse
T172,Africa,Block3,Sparse
T173,Africa,Block3,Sparse
T174,Africa,Block3,Sparse
T175,Africa,Block3,Sparse
T176,Africa,Block3,Sparse
T177,Africa,Block3,Sparse
T178,Africa,Block3,Sparse
T179,Africa,Block3,Sparse
T180,Africa,Block3,Sparse
T181,Africa,Block3,Sparse
T182,Africa,Block3,Sparse
T183,Africa,Block4,Sparse
T184,Africa,Block4,Sparse
T185,Africa,Block4,Sparse
T186,Africa,Block4,Sparse
T187,Africa,Block4,Sparse
T188,Africa,Block4,Sparse
T189,Africa,Block4,Sparse
T190,Africa,Block4,Sparse
T191,Africa,Block4,Sparse
T192,Africa,Block4,Sparse
T193,Africa,Block4,Sparse
T194,Africa,Block4,Sparse
T195,Africa,Block4,Sparse
T196,Africa,Block4,Sparse
T197,Africa,Block4,Sparse
T198,Africa,Block4,Sparse
T199,Africa,Block4,Sparse
T200,Africa,Block4,Sparse
T201,Africa,Block4,Sparse
T202,Africa,Block4,Sparse
T203,Africa,Block4,Sparse
T204,Africa,Block4,Sparse
T205,Africa,Block4,Sparse
T206,Africa,Block4,Sparse
T207,Africa,Block4,Sparse
T208,Africa,Block4,Sparse
T209,Africa,Block4,Sparse
T210,Africa,Block4,Sparse
T211,Africa,Block4,Sparse
T212,Africa,Block4,Sparse
T213,Africa,Block4,Sparse
T214,Africa,Block4,Sparse
T215,Africa,Block4,Sparse
T216,Africa,Block4,Sparse
TN01,Africa,Block4,Sparse
T217,Africa,Block4,Sparse
T218,Africa,Block4,Sparse
T219,Africa,Block4,Sparse
T220,Africa,Block4,Sparse
T221,Africa,Block4,Sparse
T222,Africa,Block4,Sparse
T224,Africa,Block4,Sparse
T225,Africa,Block4,Sparse
T227,Africa,Block4,Sparse
T228,Africa,Block4,Sparse
T229,Africa,Block4,Sparse
T230,Africa,Block4,Sparse
T231,Africa,Block4,Sparse
T232,Africa,Block4,Sparse
T233,Africa,Block4,Sparse
T234,Africa,Block4,Sparse
T235,Africa,Block4,Sparse
T236,Africa,Block4,Sparse
T237,Africa,Block4,Sparse
T238,Africa,Block4,Sparse
T239,Africa,Block4,Sparse
T240,Africa,Block4,Sparse
T241,Africa,Block4,Sparse
T242,Africa,Block4,Sparse
T243,Africa,Block4,Sparse
T244,Africa,Block5,Sparse
T245,Africa,Block5,Sparse
T246,Africa,Block5,Sparse
T247,Africa,Block5,Sparse
T248,Africa,Block5,Sparse
T249,Africa,Block5,Sparse
T250,Africa,Block5,Sparse
T251,Africa,Block5,Sparse
T252,Africa,Block5,Sparse
T253,Africa,Block5,Sparse
T254,Africa,Block5,Sparse
T255,Africa,Block5,Sparse
T256,Africa,Block5,Sparse
T257,Africa,Block5,Sparse
T258,Africa,Block5,Sparse
T259,Africa,Block5,Sparse
T260,Africa,Block5,Sparse
T261,Africa,Block5,Sparse
T262,Africa,Block5,Sparse
T263,Africa,Block5,Sparse
T264,Africa,Block5,Sparse
T265,Africa,Block5,Sparse
T266,Africa,Block5,Sparse
T267,Africa,Block5,Sparse
T268,Africa,Block5,Sparse
T269,Africa,Block5,Sparse
T270,Africa,Block5,Sparse
T271,Africa,Block5,Sparse
