Accession,Continent,Block,Capsule_width,Capsule_length,Region
T001,Africa,Block7,5.7,21,Western Africa
T001,Africa,Block7,5.8,20,Western Africa
T001,Africa,Block7,6,22,Western Africa
T001,Africa,Block7,5.7,19,Western Africa
T001,Africa,Block7,5.3,23,Western Africa
T002,Africa,Block2,8.3,18,Western Africa
T002,Africa,Block2,,,Western Africa
T002,Africa,Block2,,,Western Africa
T002,Africa,Block2,6.7,6,Western Africa
T002,Africa,Block2,7.8,26,Western Africa
T003,Africa,Block1,7.1,24,Northern Africa
T003,Africa,Block1,5.9,21,Northern Africa
T003,Africa,Block1,6.8,23,Northern Africa
T003,Africa,Block1,9.6,18,Northern Africa
T003,Africa,Block1,8.8,31,Northern Africa
T004,Africa,Block3,6.3,17,Northern Africa
T004,Africa,Block3,9,19,Northern Africa
T004,Africa,Block3,7.1,25,Northern Africa
T004,Africa,Block3,7.9,25,Northern Africa
T004,Africa,Block3,6.5,22,Northern Africa
T005,Africa,Block2,7.6,26,Northern Africa
T005,Africa,Block2,8.5,28,Northern Africa
T005,Africa,Block2,6.5,27,Northern Africa
T005,Africa,Block2,6.7,27,Northern Africa
T005,Africa,Block2,6.5,28,Northern Africa
T006,Africa,Block2,7.6,25,Northern Africa
T006,Africa,Block2,7.1,26,Northern Africa
T006,Africa,Block2,8.2,29,Northern Africa
T006,Africa,Block2,7.8,32,Northern Africa
T006,Africa,Block2,7.7,25,Northern Africa
T007,Africa,Block8,7.2,23,Northern Africa
T007,Africa,Block8,7.9,24,Northern Africa
T007,Africa,Block8,9.7,23,Northern Africa
T007,Africa,Block8,8,20,Northern Africa
T007,Africa,Block8,8.9,24,Northern Africa
T008,Africa,Block7,,,Eastern Africa
T008,Africa,Block7,,,Eastern Africa
T008,Africa,Block7,,,Eastern Africa
T008,Africa,Block7,,,Eastern Africa
T008,Africa,Block7,,,Eastern Africa
T009,Africa,Block2,7.1,25,Eastern Africa
T009,Africa,Block2,8.7,27,Eastern Africa
T009,Africa,Block2,8.7,30,Eastern Africa
T009,Africa,Block2,9,21,Eastern Africa
T009,Africa,Block2,7.7,28,Eastern Africa
T010,Africa,Block6,6.5,23,Eastern Africa
T010,Africa,Block6,7.4,23,Eastern Africa
T010,Africa,Block6,6.7,23,Eastern Africa
T010,Africa,Block6,7.4,20,Eastern Africa
T010,Africa,Block6,7.4,27,Eastern Africa
T011,Africa,Block4,6.8,25,Northern Africa
T011,Africa,Block4,5.5,15,Northern Africa
T011,Africa,Block4,7.7,19,Northern Africa
T011,Africa,Block4,4.7,14,Northern Africa
T011,Africa,Block4,7.8,23,Northern Africa
T012,Africa,Block3,8.9,11,Northern Africa
T012,Africa,Block3,7.5,19,Northern Africa
T012,Africa,Block3,6.7,21,Northern Africa
T012,Africa,Block3,8.3,19,Northern Africa
T012,Africa,Block3,8.3,23,Northern Africa
T013,Africa,Block6,7.8,25,Northern Africa
T013,Africa,Block6,5.7,19,Northern Africa
T013,Africa,Block6,7,19,Northern Africa
T013,Africa,Block6,6.9,19,Northern Africa
T013,Africa,Block6,7.8,18,Northern Africa
T014,Africa,Block3,7,21,Northern Africa
T014,Africa,Block3,6.6,24,Northern Africa
T014,Africa,Block3,6.9,24,Northern Africa
T014,Africa,Block3,7.7,21,Northern Africa
T014,Africa,Block3,6.5,20,Northern Africa
T015,Africa,Block5,7.2,23,Northern Africa
T015,Africa,Block5,5.1,23,Northern Africa
T015,Africa,Block5,6.8,22,Northern Africa
T015,Africa,Block5,6.3,17,Northern Africa
T015,Africa,Block5,8.2,18,Northern Africa
T016,Africa,Block2,7.5,21,Northern Africa
T016,Africa,Block2,6,16,Northern Africa
T016,Africa,Block2,7.1,18,Northern Africa
T016,Africa,Block2,7.3,23,Northern Africa
T016,Africa,Block2,,,Northern Africa
T017,Africa,Block8,6.9,21,Northern Africa
T017,Africa,Block8,7.8,25,Northern Africa
T017,Africa,Block8,6.6,17,Northern Africa
T017,Africa,Block8,6.6,25,Northern Africa
T017,Africa,Block8,7.5,24,Northern Africa
T018,Africa,Block5,7.4,23,Northern Africa
T018,Africa,Block5,7.2,26,Northern Africa
T018,Africa,Block5,6.6,18,Northern Africa
T018,Africa,Block5,8,23,Northern Africa
T018,Africa,Block5,8.2,25,Northern Africa
T019,Africa,Block8,7.1,21,Northern Africa
T019,Africa,Block8,7.7,24,Northern Africa
T019,Africa,Block8,8,30,Northern Africa
T019,Africa,Block8,7.1,26,Northern Africa
T019,Africa,Block8,7.9,27,Northern Africa
T020,Africa,Block5,6.4,22,Northern Africa
T020,Africa,Block5,6.5,22,Northern Africa
T020,Africa,Block5,8.5,27,Northern Africa
T020,Africa,Block5,6.8,27,Northern Africa
T020,Africa,Block5,6.7,20,Northern Africa
T021,Africa,Block2,6.3,23,Northern Africa
T021,Africa,Block2,7.9,26,Northern Africa
T021,Africa,Block2,6.5,20,Northern Africa
T021,Africa,Block2,7,19,Northern Africa
T021,Africa,Block2,8.2,26,Northern Africa
T022,Africa,Block8,6.4,19,Northern Africa
T022,Africa,Block8,5.5,16,Northern Africa
T022,Africa,Block8,8.4,32,Northern Africa
T022,Africa,Block8,9.6,21,Northern Africa
T022,Africa,Block8,6.4,17,Northern Africa
T023,Africa,Block1,7.7,30,Northern Africa
T023,Africa,Block1,8,27,Northern Africa
T023,Africa,Block1,7,22,Northern Africa
T023,Africa,Block1,7,21,Northern Africa
T023,Africa,Block1,8.4,30,Northern Africa
T024,Africa,Block2,6.1,18,Northern Africa
T024,Africa,Block2,6.8,19,Northern Africa
T024,Africa,Block2,7.3,20,Northern Africa
T024,Africa,Block2,8,30,Northern Africa
T024,Africa,Block2,7.1,25,Northern Africa
T025,Africa,Block2,7.8,25,Northern Africa
T025,Africa,Block2,6.6,23,Northern Africa
T025,Africa,Block2,6.4,24,Northern Africa
T025,Africa,Block2,7.1,21,Northern Africa
T025,Africa,Block2,7.7,26,Northern Africa
T026,Africa,Block8,7.2,23,Northern Africa
T026,Africa,Block8,7.4,21,Northern Africa
T026,Africa,Block8,6.7,19,Northern Africa
T026,Africa,Block8,7.5,21,Northern Africa
T026,Africa,Block8,6.5,23,Northern Africa
T027,Africa,Block6,7.3,21,Northern Africa
T027,Africa,Block6,7.7,25,Northern Africa
T027,Africa,Block6,8.2,24,Northern Africa
T027,Africa,Block6,6.5,19,Northern Africa
