Accession,Continent,Block,Cap_Axil,Site,Capsule_type
T001,Africa,Block7,1,Jeonju,One capsule
T002,Africa,Block2,1,Jeonju,One capsule
T003,Africa,Block1,1.1,Jeonju,One capsule
T004,Africa,Block3,2.5,Jeonju,Three capsules
T005,Africa,Block2,1.7,Jeonju,Two capsules
T006,Africa,Block2,2.5,Jeonju,Three capsules
T007,Africa,Block8,1.15,Jeonju,One capsule
T008,Africa,Block7,1,Jeonju,One capsule
T009,Africa,Block2,1,Jeonju,One capsule
T010,Africa,Block6,1,Jeonju,One capsule
T011,Africa,Block4,1,Jeonju,One capsule
T012,Africa,Block3,1,Jeonju,One capsule
T013,Africa,Block6,1,Jeonju,One capsule
T014,Africa,Block3,1,Jeonju,One capsule
T015,Africa,Block5,1.05,Jeonju,One capsule
T016,Africa,Block2,1,Jeonju,One capsule
T017,Africa,Block8,1,Jeonju,One capsule
T018,Africa,Block5,1,Jeonju,One capsule
T019,Africa,Block8,1,Jeonju,One capsule
T020,Africa,Block5,1.25,Jeonju,One capsule
T021,Africa,Block2,1,Jeonju,One capsule
T022,Africa,Block8,1.1,Jeonju,One capsule
T023,Africa,Block1,1.2,Jeonju,One capsule
T024,Africa,Block2,1,Jeonju,One capsule
T025,Africa,Block2,1,Jeonju,One capsule
T026,Africa,Block8,1,Jeonju,One capsule
T027,Africa,Block6,1,Jeonju,One capsule
T028,Africa,Block3,1,Jeonju,One capsule
T029,Africa,Block5,2.65,Jeonju,Three capsules
T030,Africa,Block5,1,Jeonju,One capsule
T031,Africa,Block4,1,Jeonju,One capsule
T032,Africa,Block7,1,Jeonju,One capsule
T033,Africa,Block7,1,Jeonju,One capsule
T034,Africa,Block5,1,Jeonju,One capsule
T035,Africa,Block5,1,Jeonju,One capsule
T036,Africa,Block1,1,Jeonju,One capsule
T037,Africa,Block6,1,Jeonju,One capsule
T038,Africa,Block1,1,Jeonju,One capsule
T039,Africa,Block5,1,Jeonju,One capsule
T040,Africa,Block3,1,Jeonju,One capsule
T041,Africa,Block5,1,Jeonju,One capsule
T042,Africa,Block1,1.05,Jeonju,One capsule
T043,Africa,Block4,1,Jeonju,One capsule
T044,Africa,Block3,1,Jeonju,One capsule
T045,Africa,Block8,1,Jeonju,One capsule
T046,Africa,Block1,1,Jeonju,One capsule
T047,Africa,Block5,1,Jeonju,One capsule
T048,Africa,Block6,1,Jeonju,One capsule
T049,Africa,Block1,1,Jeonju,One capsule
T050,Africa,Block5,1,Jeonju,One capsule
T051,Africa,Block3,1.25,Jeonju,One capsule
T052,Africa,Block3,1,Jeonju,One capsule
T053,Africa,Block3,1,Jeonju,One capsule
T054,Africa,Block4,1,Jeonju,One capsule
T055,Africa,Block1,1,Jeonju,One capsule
T056,Africa,Block7,1,Jeonju,One capsule
T057,Africa,Block4,1,Jeonju,One capsule
T058,Africa,Block2,1,Jeonju,One capsule
T059,Africa,Block5,1,Jeonju,One capsule
T060,Africa,Block4,1.05,Jeonju,One capsule
T061,Africa,Block4,1,Jeonju,One capsule
T062,Africa,Block8,1,Jeonju,One capsule
T063,Africa,Block3,1,Jeonju,One capsule
T064,Africa,Block2,1,Jeonju,One capsule
T065,Africa,Block8,2.35,Jeonju,Two capsules
T066,Africa,Block6,1,Jeonju,One capsule
T067,Africa,Block8,1,Jeonju,One capsule
T068,Africa,Block8,1.2,Jeonju,One capsule
T069,Africa,Block1,1,Jeonju,One capsule
T070,Africa,Block7,1.2,Jeonju,One capsule
T071,Africa,Block7,1.15,Jeonju,One capsule
T072,Africa,Block7,1,Jeonju,One capsule
T073,Africa,Block3,1,Jeonju,One capsule
T074,Africa,Block4,1,Jeonju,One capsule
T075,Africa,Block2,0.95,Jeonju,One capsule
T076,Africa,Block8,2,Jeonju,Two capsules
T077,Africa,Block7,1,Jeonju,One capsule
T078,Africa,Block1,1,Jeonju,One capsule
T079,Africa,Block5,1.05,Jeonju,One capsule
T080,Africa,Block3,1,Jeonju,One capsule
T081,Africa,Block6,1,Jeonju,One capsule
T082,Africa,Block1,1,Jeonju,One capsule
T083,Africa,Block1,1,Jeonju,One capsule
T084,Africa,Block3,2.2,Jeonju,Two capsules
T085,Africa,Block3,2.3,Jeonju,Two capsules
T086,Africa,Block8,1,Jeonju,One capsule
T087,Africa,Block4,1,Jeonju,One capsule
T088,Africa,Block7,1,Jeonju,One capsule
T089,Africa,Block6,1,Jeonju,One capsule
T090,Africa,Block3,1,Jeonju,One capsule
T091,Africa,Block4,1,Jeonju,One capsule
T092,Africa,Block2,1,Jeonju,One capsule
T093,Africa,Block6,1,Jeonju,One capsule
T094,Africa,Block7,1,Jeonju,One capsule
T095,Africa,Block7,1,Jeonju,One capsule
T096,Africa,Block7,1,Jeonju,One capsule
T097,Africa,Block7,1,Jeonju,One capsule
T098,Africa,Block4,1.1,Jeonju,One capsule
T099,Africa,Block7,1,Jeonju,One capsule
T100,Africa,Block3,1,Jeonju,One capsule
T101,Africa,Block6,1,Jeonju,One capsule
T102,Africa,Block2,1,Jeonju,One capsule
T103,Africa,Block2,1,Jeonju,One capsule
T104,Africa,Block5,1.05,Jeonju,One capsule
T105,Africa,Block7,1.55,Jeonju,Two capsules
T106,Africa,Block2,1,Jeonju,One capsule
T107,Africa,Block2,1,Jeonju,One capsule
T108,Africa,Block5,1,Jeonju,One capsule
T109,Africa,Block6,1.05,Jeonju,One capsule
T110,Africa,Block7,1.1,Jeonju,One capsule
T111,Africa,Block6,1.05,Jeonju,One capsule
T112,Africa,Block5,2.6,Jeonju,Three capsules
T113,Africa,Block8,1.2,Jeonju,One capsule
T114,Africa,Block7,2.55,Jeonju,Three capsules
T115,Africa,Block3,1.6,Jeonju,Two capsules
T116,Africa,Block3,1,Jeonju,One capsule
T117,Africa,Block1,1,Jeonju,One capsule
T118,Africa,Block1,1,Jeonju,One capsule
T119,Africa,Block2,1,Jeonju,One capsule
