Country;Number;Latitude;Longitude;Region
Afghanistan;10;34,297535;65,499387;Southern Asia
Angola;4;-12,773686;17,032879;Southern Africa
Cameroon;2;5,185212;12,478571;Central Africa
China;5;35,323319;104,238678;Eastern Asia
DRC;8;-1,300504;15,258112;Central Africa
Egypt;94;26,820553;30,802498;Northern Africa
Erythrea;14;16,105303;37,75028;Eastern Africa
Ghana;2;8,333535;-1,033753;West Africa
India;12;22,063302;78,332961;Southern Asia
Iran ;7;32,664816;54,592403;Middle East
Japan;5;36,085862;138,442354;Eastern Asia
Kenya;24;1,281739;38,029946;Eastern Africa
South Korea;109;36,536577;127,908258;Eastern Asia
Liberia;1;6,926917;-9,470868;West Africa
Lybia;4;26,670816;17,238663;Northern Africa
Mexico;5;23,243518;-102,590412;Northern America
Morocco;8;32,209575;-6,321147;Northern Africa
Mozambique;11;-17,080504;36,165504;Eastern Africa
Namibia;1;-22,55941;17,08323;Southern Africa
Nepal ;2;28,342427;83,912423;Southern Asia
Nigeria;25;9,05735;7,48976;West Africa
Pakistan;5;30,26822;69,221502;Southern Asia
Philippines;6;15,224869;121,091244;Southern Asia
Russia;6;64,163915;96,26189;Eurasia
Senegal;12;14,800153;-14,445907;West Africa
Somalia;9;2,865426;42,38031;Eastern Africa
South Africa;1;-29,428957;24,842014;Southern Africa
Sudan;76;15,54665;32,53361;Northern Africa
Tanzania;9;-6,17486;35,73792;Eastern Africa
Tunisia;1;34,527661;9,089215;Northern Africa
Turkey;14;39,343746;35,388654;Middle East
Uganda;2;1,806396;32,398738;Eastern Africa
USA;5;42,47839;-107,607379;Northern America
Venezuela;3;7,7736;-66,894048;Southern America
Zimbabwe;4;-18,773386;30,028739;Southern Africa
